5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Male,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
0.825625,0.81625,0.5178125,0.7721875,0.84,0.825625,0.828125,0.8190625,0.81875,0.7975,0.8525,0.81875,0.8175,0.8359375,0.80625,0.83125,0.7715625,0.83625,0.829375,0.82625,0.825,0.840625,0.840625,0.805,0.8434375,0.791875,0.791875,0.8196875,0.8396875,0.7640625,0.8396875,0.825,0.805625,0.8275,0.833125,0.816875,0.8278125,0.8025,0.8240625
0.8296875,0.8075,0.7975,0.7953125,0.8409375,0.8078125,0.78625,0.838125,0.828125,0.800625,0.808125,0.8215625,0.843125,0.84,0.7465625,0.8178125,0.773125,0.8484375,0.82875,0.82875,0.840625,0.8378125,0.851875,0.7878125,0.825625,0.8175,0.831875,0.800625,0.8290625,0.8003125,0.83125,0.8159375,0.79875,0.8090625,0.815,0.8346875,0.823125,0.8265625,0.8171875
0.839375,0.8196875,0.8103125,0.82875,0.810625,0.855625,0.8121875,0.8153125,0.7640625,0.81,0.5178125,0.82125,0.825625,0.819375,0.8475,0.8478125,0.8003125,0.803125,0.840625,0.5178125,0.7734375,0.8371875,0.820625,0.8078125,0.835625,0.84625,0.8321875,0.8121875,0.8028125,0.8396875,0.813125,0.8046875,0.8140625,0.8046875,0.8265625,0.79625,0.824375,0.8371875,0.8096875
0.84375,0.8396875,0.7725,0.84125,0.835625,0.82,0.83125,0.8353125,0.80125,0.8275,0.7675,0.8021875,0.8315625,0.8359375,0.8140625,0.840625,0.835625,0.82125,0.7709375,0.8325,0.8184375,0.835,0.85,0.8346875,0.853125,0.7875,0.82875,0.78875,0.84125,0.825625,0.8321875,0.8090625,0.5178125,0.7940625,0.8346875,0.836875,0.81875,0.833125,0.7946875
0.8371875,0.8340625,0.8059375,0.8453125,0.8459375,0.830625,0.80625,0.835625,0.8121875,0.825625,0.831875,0.8134375,0.8440625,0.84125,0.8578125,0.8353125,0.8296875,0.84125,0.834375,0.83375,0.796875,0.816875,0.8575,0.8053125,0.82875,0.7646875,0.81875,0.80625,0.82375,0.8434375,0.8328125,0.8346875,0.819375,0.834375,0.8234375,0.8175,0.8278125,0.8475,0.799375
0.7853125,0.8046875,0.80125,0.825,0.8421875,0.7884375,0.8053125,0.814375,0.825,0.815,0.74375,0.8346875,0.8284375,0.83,0.84125,0.8428125,0.793125,0.8128125,0.830625,0.8034375,0.5178125,0.8125,0.8553125,0.834375,0.851875,0.8178125,0.80375,0.8315625,0.628125,0.831875,0.83625,0.8096875,0.809375,0.76625,0.821875,0.8371875,0.81125,0.84875,0.7946875
0.828125,0.831875,0.791875,0.82125,0.7978125,0.8475,0.8121875,0.8253125,0.818125,0.755625,0.8215625,0.8140625,0.82375,0.825625,0.8321875,0.8478125,0.8375,0.840625,0.8225,0.5178125,0.6728125,0.84625,0.8378125,0.783125,0.7784375,0.8065625,0.824375,0.834375,0.793125,0.8340625,0.843125,0.831875,0.815,0.8296875,0.860625,0.8184375,0.7896875,0.83875,0.835
0.8375,0.823125,0.793125,0.615,0.786875,0.825,0.8403125,0.8284375,0.825,0.795625,0.820625,0.8221875,0.8503125,0.833125,0.859375,0.806875,0.82125,0.84625,0.7890625,0.8146875,0.8353125,0.8390625,0.795,0.839375,0.8184375,0.7884375,0.82875,0.8078125,0.8384375,0.811875,0.813125,0.8465625,0.808125,0.7465625,0.83875,0.5509375,0.8246875,0.791875,0.815625
0.8046875,0.8021875,0.8271875,0.840625,0.840625,0.808125,0.78875,0.74375,0.810625,0.8190625,0.8434375,0.8303125,0.8196875,0.839375,0.5178125,0.8359375,0.815625,0.83125,0.818125,0.823125,0.846875,0.84125,0.828125,0.80375,0.835625,0.825,0.796875,0.8278125,0.830625,0.829375,0.7203125,0.7634375,0.7884375,0.83375,0.8421875,0.8090625,0.79125,0.8259375,0.823125
0.82375,0.8125,0.8346875,0.631875,0.81,0.8196875,0.8028125,0.8146875,0.838125,0.7890625,0.5178125,0.805625,0.831875,0.8509375,0.841875,0.7425,0.83375,0.8371875,0.8159375,0.775,0.816875,0.8309375,0.82,0.83375,0.8378125,0.73875,0.8121875,0.78875,0.8321875,0.8246875,0.838125,0.8040625,0.7896875,0.8025,0.8478125,0.8365625,0.805,0.8146875,0.78125
