0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0.881,0.882,0.847,0.879,0.884,0.875,0.881,0.874,0.881,0.882,0.881,0.878,0.881,0.881,0.877,0.867,0.881,0.881,0.872,0.868,0.884,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.879,0.881,0.881,0.86,0.882,0.881,0.881,0.88,0.862,0.881,0.881,0.852
0.881,0.878,0.875,0.881,0.881,0.877,0.869,0.866,0.881,0.867,0.88,0.881,0.876,0.866,0.881,0.881,0.868,0.88,0.868,0.881,0.872,0.87,0.882,0.881,0.881,0.881,0.88,0.864,0.881,0.881,0.88,0.768,0.862,0.874,0.881,0.881,0.876,0.881,0.881,0.885
0.881,0.881,0.881,0.879,0.881,0.876,0.881,0.883,0.881,0.881,0.881,0.88,0.877,0.881,0.877,0.868,0.881,0.881,0.878,0.855,0.862,0.881,0.881,0.881,0.881,0.881,0.881,0.873,0.881,0.881,0.851,0.881,0.874,0.881,0.882,0.868,0.872,0.881,0.876,0.872
0.881,0.877,0.879,0.876,0.881,0.847,0.881,0.874,0.877,0.832,0.883,0.881,0.878,0.881,0.881,0.849,0.884,0.864,0.879,0.866,0.876,0.879,0.881,0.881,0.88,0.881,0.882,0.881,0.882,0.881,0.881,0.873,0.881,0.879,0.881,0.875,0.882,0.881,0.87,0.881
0.881,0.881,0.882,0.881,0.88,0.878,0.881,0.88,0.881,0.869,0.88,0.881,0.881,0.871,0.879,0.882,0.881,0.882,0.881,0.881,0.863,0.88,0.875,0.881,0.88,0.881,0.881,0.881,0.881,0.878,0.881,0.88,0.881,0.88,0.88,0.881,0.877,0.881,0.881,0.881
0.881,0.874,0.881,0.852,0.88,0.88,0.881,0.881,0.881,0.87,0.881,0.88,0.881,0.881,0.881,0.88,0.881,0.881,0.867,0.863,0.871,0.881,0.881,0.881,0.872,0.881,0.881,0.864,0.873,0.884,0.881,0.881,0.862,0.88,0.876,0.881,0.871,0.881,0.879,0.87
0.881,0.868,0.848,0.88,0.885,0.884,0.881,0.881,0.881,0.874,0.88,0.827,0.881,0.879,0.881,0.872,0.881,0.877,0.878,0.882,0.868,0.822,0.881,0.881,0.884,0.881,0.881,0.881,0.881,0.871,0.881,0.881,0.881,0.881,0.881,0.878,0.877,0.881,0.881,0.874
0.881,0.881,0.873,0.877,0.881,0.88,0.881,0.881,0.86,0.882,0.882,0.881,0.881,0.881,0.881,0.885,0.878,0.878,0.874,0.882,0.881,0.881,0.881,0.869,0.881,0.881,0.881,0.86,0.881,0.881,0.877,0.88,0.88,0.881,0.881,0.873,0.879,0.881,0.875,0.88
0.881,0.88,0.877,0.879,0.879,0.865,0.875,0.881,0.881,0.856,0.879,0.879,0.881,0.881,0.872,0.875,0.881,0.877,0.883,0.872,0.871,0.881,0.881,0.877,0.881,0.875,0.881,0.881,0.863,0.856,0.881,0.876,0.87,0.881,0.881,0.872,0.876,0.881,0.872,0.881
0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.875,0.877,0.881,0.881,0.881,0.881,0.881,0.88,0.881,0.845,0.881,0.866,0.852,0.881,0.881,0.881,0.881,0.88,0.874,0.873,0.877,0.882,0.881,0.863,0.881,0.881,0.881,0.878,0.876,0.881,0.881,0.878
